age;gender;maritalStatus;education;employmentStatus;occupationSector;dependents;homeOwnership;hasMortgage;annualIncome;loanType;purpose;loanAmount;termMonths;interestRate;ltv;dti;previousLoansCount;previousDefaultsCount;target_PD;default
47;Mujer;Casado;Grado;Desempleado;Ventas;2;Alquiler;No;667.97;Consumo;Otros;500.0;11;0.0924;0.0;0.8548;0;0;0.225509;1
40;Hombre;Soltero;Bachillerato;Indefinido;Hosteleria;1;Propia_Pagada;No;14157.67;Consumo;Viajes;1743.98;15;0.1478;0.0;0.1085;3;2;0.016546;0
49;Mujer;Casado;Posgrado;Autonomo;Otros;1;Alquiler;No;37661.68;Consumo;Otros;13330.49;24;0.0646;0.0;0.1891;3;0;0.001464;0
60;Hombre;Casado;Sin Estudios;Desempleado;Salud;2;Cedida;No;7272.82;Consumo;Electrodomesticos;4398.45;13;0.0698;0.0;0.5812;3;0;0.12201;1
39;Mujer;Divorciado;Posgrado;Autonomo;Ventas;3;Propia_Hipoteca;Si;13528.42;Consumo;Tecnologia;3200.96;9;0.1227;0.0;0.3318;0;0;0.002531;0
39;Hombre;Divorciado;Bachillerato;Funcionario;Salud;0;Propia_Hipoteca;Si;28471.6;Consumo;Tecnologia;7189.87;12;0.1423;0.0;0.2724;1;0;0.001193;0
60;Hombre;Casado;Formacion Profesional;Desempleado;Tecnologia;1;Propia_Pagada;No;782.36;Consumo;Viajes;500.0;9;0.1091;0.0;0.8913;3;0;0.188686;1
51;Mujer;Divorciado;Grado;Indefinido;Tecnologia;0;Alquiler;No;105233.28;Auto;Compra_Vehiculo;60000.0;58;0.0714;0.0;0.1398;8;0;0.000496;0
36;Mujer;Casado;Grado;Temporal;Tecnologia;2;Propia_Pagada;No;27815.17;Auto;Compra_Vehiculo;34301.93;50;0.0594;0.0;0.3348;2;0;0.003974;0
48;Mujer;Divorciado;Secundaria;Indefinido;Hosteleria;0;Propia_Hipoteca;Si;21244.2;Hipotecario;Compra_Vivienda;120697.75;259;0.037;0.5624;0.3825;5;0;0.002524;0
36;Hombre;Casado;Bachillerato;Funcionario;Salud;4;Propia_Hipoteca;Si;27379.09;Consumo;Otros;9621.37;10;0.097;0.0;0.4407;3;0;0.001519;0
36;Hombre;Casado;Posgrado;Funcionario;Sector Publico;3;Propia_Hipoteca;Si;56016.14;Consumo;Viajes;30000.0;11;0.0811;0.0;0.6082;4;0;0.002564;0
44;Hombre;Casado;Bachillerato;Autonomo;Ventas;1;Propia_Hipoteca;Si;4623.98;Personal;Educacion;3668.49;13;0.0677;0.0;0.7616;9;2;0.19967;1
19;Mujer;Casado;Secundaria;Temporal;Construccion;0;Alquiler;Si;6362.34;Personal;Educacion;7701.03;41;0.1407;0.0;0.4482;0;0;0.009393;0
21;Mujer;Soltero;Sin Estudios;Temporal;Hosteleria;0;Alquiler;No;7443.16;Personal;Otros;8399.4;20;0.0869;0.0;0.7297;1;0;0.022811;0
