age;gender;maritalStatus;employmentStatus;employmentSeniorityYears;annualIncome;incomeType;homeOwnership;dependents;creditLimit;isRevolving;interestRate;lti;dti;previousDefaultsCount;target_PD;default
41;Mujer;Casado;Indefinido;11;28257.78;Salario;Propia_Hipoteca;2;8000.0;No;0.0;0.2831;0.1359;0;0.001472;No
26;Hombre;Soltero;Inactivo;0;33087.48;Pension;Propia_Hipoteca;0;16000.0;Si;0.1077;0.4836;0.2321;0;0.03662;No
42;Mujer;Soltero;Autonomo;19;62547.18;Autonomo;Alquiler;1;19500.0;Si;0.1767;0.3118;0.1496;0;0.004203;No
25;Mujer;Soltero;Temporal;1;39727.6;Salario;Propia_Hipoteca;0;13000.0;Si;0.1917;0.3272;0.1571;0;0.01304;No
27;Hombre;Soltero;Indefinido;9;38503.52;Salario;Alquiler;0;6000.0;No;0.0;0.1558;0.0748;2;0.108575;No
43;Mujer;Casado;Indefinido;3;30507.79;Salario;Propia_Hipoteca;3;9000.0;Si;0.2879;0.295;0.1416;0;0.019174;No
35;Hombre;Casado;Indefinido;4;33873.88;Salario;Propia_Pagada;0;12500.0;Si;0.2086;0.369;0.1771;0;0.001529;No
38;Mujer;Casado;Funcionario;18;90100.81;Salario;Propia_Pagada;1;25000.0;Si;0.2104;0.2775;0.1332;0;1.5e-05;No
42;Hombre;Casado;Temporal;0;27824.38;Salario;Alquiler;3;12000.0;No;0.0;0.4313;0.207;0;0.04722;No
44;Hombre;Divorciado;Autonomo;10;22761.33;Autonomo;Propia_Hipoteca;3;8000.0;No;0.0;0.3515;0.1687;0;0.037504;No
36;Mujer;Soltero;Indefinido;13;36786.41;Salario;Alquiler;0;6000.0;Si;0.2773;0.1631;0.0783;0;0.003073;No
23;Mujer;Soltero;Inactivo;0;9338.45;Pension;Propia_Pagada;0;1000.0;Si;0.1822;0.1071;0.0514;0;0.061729;No
55;Hombre;Viudo;Funcionario;1;31587.94;Salario;Alquiler;1;7500.0;Si;0.0901;0.2374;0.114;0;0.000979;No
44;Mujer;Soltero;Indefinido;26;34534.03;Salario;Propia_Hipoteca;1;13000.0;Si;0.2559;0.3764;0.1807;0;0.000967;No
42;Hombre;Casado;Indefinido;5;61203.91;Salario;Alquiler;3;25000.0;Si;0.2389;0.4085;0.1961;0;0.003597;No
45;Mujer;Soltero;Indefinido;27;21761.92;Salario;Propia_Hipoteca;1;11000.0;No;0.0;0.5055;0.2426;0;0.010256;No
39;Mujer;Casado;Indefinido;7;48893.29;Salario;Propia_Hipoteca;2;10000.0;Si;0.3187;0.2045;0.0982;0;0.033617;No
27;Hombre;Casado;Temporal;0;17527.86;Salario;Alquiler;0;8500.0;Si;0.2963;0.4849;0.2328;0;0.76397;Si
34;Hombre;Soltero;Indefinido;4;48251.08;Salario;Propia_Hipoteca;2;13000.0;No;0.0;0.2694;0.1293;0;0.005259;No
43;Hombre;Soltero;Indefinido;11;18036.39;Salario;Alquiler;0;4500.0;Si;0.2682;0.2495;0.1198;0;0.008092;No
39;Hombre;Soltero;Temporal;8;18912.57;Salario;Propia_Pagada;2;7500.0;No;0.0;0.3966;0.1903;0;0.018244;No
32;Hombre;Casado;Indefinido;14;19974.04;Salario;Alquiler;2;7500.0;No;0.0;0.3755;0.1802;0;0.014172;No
49;Mujer;Soltero;Indefinido;6;38391.52;Salario;Propia_Hipoteca;0;19000.0;Si;0.2844;0.4949;0.2376;0;0.00992;No
49;Mujer;Soltero;Indefinido;3;16298.94;Salario;Propia_Pagada;2;3500.0;No;0.0;0.2147;0.1031;0;0.00474;No
40;Mujer;Viudo;Temporal;0;37463.23;Salario;Alquiler;0;18500.0;Si;0.1461;0.4938;0.237;0;0.055412;No
32;Hombre;Soltero;Funcionario;13;33530.83;Salario;Alquiler;2;9500.0;Si;0.2271;0.2833;0.136;0;0.000414;No
33;Mujer;Casado;Indefinido;7;27278.19;Salario;Alquiler;2;5500.0;Si;0.2388;0.2016;0.0968;0;0.011899;No
41;Hombre;Casado;Temporal;7;18863.74;Salario;Propia_Pagada;1;7000.0;Si;0.276;0.3711;0.1781;0;0.137542;No
21;Mujer;Soltero;Temporal;1;26861.5;Salario;Alquiler;0;6000.0;Si;0.0802;0.2234;0.1072;0;0.229127;No
39;Mujer;Divorciado;Indefinido;2;28266.65;Salario;Alquiler;1;7000.0;No;0.0;0.2476;0.1189;1;0.056031;No
40;Hombre;Divorciado;Temporal;1;22881.47;Salario;Propia_Hipoteca;2;8000.0;Si;0.1584;0.3496;0.1678;0;0.148309;No
60;Mujer;Casado;Indefinido;3;86052.84;Salario;Propia_Hipoteca;0;25000.0;Si;0.1495;0.2905;0.1394;0;0.00122;No
44;Hombre;Casado;Indefinido;7;32688.6;Salario;Propia_Pagada;1;10500.0;Si;0.176;0.3212;0.1542;0;0.000539;No
40;Hombre;Casado;Desempleado;1;15447.97;Ayudas;Propia_Pagada;2;4500.0;Si;0.1475;0.2913;0.1398;0;0.580371;Si
24;Mujer;Soltero;Inactivo;1;29228.44;Pension;Cedida;0;5500.0;Si;0.1685;0.1882;0.0903;0;0.070925;No
49;Hombre;Casado;Funcionario;12;16733.12;Salario;Alquiler;1;7000.0;Si;0.207;0.4183;0.2008;1;0.014207;No
21;Hombre;Soltero;Indefinido;3;44390.34;Salario;Alquiler;0;13000.0;Si;0.1725;0.2929;0.1406;0;0.010403;No
35;Mujer;Casado;Indefinido;7;58892.62;Salario;Propia_Pagada;2;16000.0;No;0.0;0.2717;0.1304;0;0.000312;No
42;Hombre;Soltero;Autonomo;21;30597.77;Autonomo;Cedida;2;10500.0;Si;0.2834;0.3432;0.1647;0;0.006205;No
47;Mujer;Divorciado;Indefinido;18;14566.4;Salario;Propia_Hipoteca;3;2000.0;Si;0.1471;0.1373;0.0659;0;0.002663;No
58;Hombre;Divorciado;Indefinido;9;58472.09;Salario;Propia_Hipoteca;0;18000.0;Si;0.2717;0.3078;0.1478;0;0.003864;No
25;Hombre;Soltero;Temporal;0;19246.4;Salario;Alquiler;0;8500.0;No;0.0;0.4416;0.212;0;0.244017;No
58;Hombre;Casado;Indefinido;8;22991.91;Salario;Propia_Pagada;0;3000.0;Si;0.1393;0.1305;0.0626;1;0.03029;No
28;Hombre;Soltero;Desempleado;0;17501.0;Ayudas;Propia_Pagada;0;6500.0;No;0.0;0.3714;0.1783;0;0.358168;No
48;Mujer;Casado;Indefinido;19;40939.34;Salario;Alquiler;0;11500.0;Si;0.2136;0.2809;0.1348;0;0.002273;No
39;Hombre;Casado;Autonomo;17;23474.2;Autonomo;Alquiler;2;8000.0;Si;0.2624;0.3408;0.1636;0;0.046531;No
60;Mujer;Casado;Indefinido;8;23112.3;Salario;Alquiler;0;3000.0;No;0.0;0.1298;0.0623;0;0.004152;No
37;Mujer;Divorciado;Temporal;0;21687.96;Salario;Alquiler;1;8500.0;Si;0.1466;0.3919;0.1881;0;0.193501;No
40;Mujer;Casado;Temporal;0;19030.14;Salario;Alquiler;1;6000.0;Si;0.1377;0.3153;0.1513;0;0.131751;No
64;Hombre;Casado;Indefinido;11;17967.11;Salario;Alquiler;0;8500.0;Si;0.0998;0.4731;0.2271;0;0.007728;No
21;Hombre;Soltero;Inactivo;0;12665.71;Pension;Alquiler;0;5000.0;No;0.0;0.3948;0.1895;0;0.43999;No
43;Hombre;Soltero;Funcionario;23;22995.66;Salario;Propia_Hipoteca;1;6000.0;No;0.0;0.2609;0.1252;0;0.000622;No
36;Mujer;Soltero;Desempleado;1;20831.51;Ayudas;Alquiler;2;10000.0;No;0.0;0.48;0.2304;0;0.654468;Si
52;Hombre;Soltero;Funcionario;16;40080.27;Salario;Propia_Pagada;2;19000.0;No;0.0;0.474;0.2275;0;7.8e-05;No
27;Hombre;Soltero;Temporal;4;25564.81;Salario;Propia_Hipoteca;0;9000.0;Si;0.2969;0.352;0.169;0;0.360264;No
36;Hombre;Soltero;Desempleado;0;22920.7;Ayudas;Propia_Pagada;2;9000.0;No;0.0;0.3927;0.1885;0;0.742147;Si
31;Hombre;Casado;Indefinido;13;18260.41;Salario;Propia_Hipoteca;2;3500.0;Si;0.2988;0.1917;0.092;1;0.184542;No
60;Mujer;Casado;Indefinido;13;14566.4;Salario;Propia_Hipoteca;0;6500.0;No;0.0;0.4462;0.2142;0;0.00377;No
53;Mujer;Casado;Indefinido;5;23008.36;Salario;Alquiler;3;10000.0;No;0.0;0.4346;0.2086;0;0.02539;No
52;Hombre;Divorciado;Indefinido;3;28630.31;Salario;Alquiler;2;7500.0;Si;0.2384;0.262;0.1257;1;0.103246;No
44;Mujer;Casado;Indefinido;7;93008.26;Salario;Cedida;3;25000.0;Si;0.1491;0.2688;0.129;0;0.000638;No
55;Hombre;Casado;Indefinido;15;14566.4;Salario;Alquiler;2;5500.0;Si;0.2341;0.3776;0.1812;0;0.008042;No
54;Mujer;Casado;Funcionario;21;58656.89;Salario;Alquiler;2;17500.0;Si;0.1447;0.2983;0.1432;0;0.000172;No
35;Mujer;Casado;Indefinido;6;22940.76;Salario;Alquiler;2;7500.0;No;0.0;0.3269;0.1569;0;0.010714;No
47;Mujer;Casado;Indefinido;8;14566.4;Salario;Propia_Pagada;3;6500.0;No;0.0;0.4462;0.2142;1;0.200193;No
25;Hombre;Soltero;Temporal;1;14566.4;Salario;Alquiler;0;3000.0;No;0.0;0.206;0.0989;3;0.985162;Si
49;Hombre;Casado;Indefinido;5;55367.44;Salario;Propia_Hipoteca;3;24000.0;Si;0.1391;0.4335;0.2081;0;0.001202;No
41;Hombre;Casado;Funcionario;15;37702.18;Salario;Propia_Hipoteca;2;7000.0;Si;0.2104;0.1857;0.0891;2;0.009495;No
57;Hombre;Casado;Indefinido;15;48692.01;Salario;Cedida;0;19500.0;Si;0.2599;0.4005;0.1922;0;0.001432;No
18;Mujer;Casado;Inactivo;0;14145.66;Pension;Alquiler;0;5500.0;No;0.0;0.3888;0.1866;3;0.999531;Si
64;Hombre;Divorciado;Funcionario;13;18934.49;Salario;Propia_Hipoteca;0;7000.0;Si;0.0779;0.3697;0.1775;0;0.001935;No
57;Otro;Casado;Indefinido;8;16453.22;Salario;Cedida;0;6500.0;Si;0.2178;0.3951;0.1896;1;0.225862;No
35;Mujer;Casado;Indefinido;13;21307.44;Salario;Alquiler;0;4000.0;Si;0.2281;0.1877;0.0901;0;0.002763;No
45;Mujer;Casado;Funcionario;11;36121.95;Salario;Alquiler;0;13500.0;No;0.0;0.3737;0.1794;0;0.00025;No
65;Hombre;Casado;Autonomo;8;80864.97;Autonomo;Alquiler;0;25000.0;Si;0.2162;0.3092;0.1484;2;0.207667;No
